# wavelength    g
380.0    0.00044
380.5    0.00046
381.0    0.00048
381.5    0.00054
382.0    0.0006
382.5    0.0006
383.0    0.0006
383.5    0.0007
384.0    0.00079
384.5    0.00087
385.0    0.00095
385.5    0.00103
386.0    0.00111
386.5    0.00123
387.0    0.00135
387.5    0.00147
388.0    0.00159
388.5    0.00178
389.0    0.00198
389.5    0.00218
390.0    0.00238
390.5    0.00237
391.0    0.00235
391.5    0.00334
392.0    0.00434
392.5    0.00659
393.0    0.00885
393.5    0.01112
394.0    0.01341
394.5    0.01368
395.0    0.01396
395.5    0.04649
396.0    0.07916
396.5    0.11349
397.0    0.14792
397.5    0.18245
398.0    0.2171
398.5    0.21702
399.0    0.21702
399.5    0.22946
400.0    0.24196
400.5    0.24782
401.0    0.25377
401.5    0.2597
402.0    0.2657
402.5    0.26781
403.0    0.26989
403.5    0.27218
404.0    0.27447
404.5    0.27518
405.0    0.27589
405.5    0.27918
406.0    0.28255
406.5    0.28453
407.0    0.28645
407.5    0.29074
408.0    0.29494
408.5    0.29568
409.0    0.29645
409.5    0.29904
410.0    0.30158
410.5    0.30343
411.0    0.3053
411.5    0.30721
412.0    0.30906
412.5    0.31047
413.0    0.31185
413.5    0.31427
414.0    0.31681
414.5    0.31835
415.0    0.31986
415.5    0.32481
416.0    0.3297
416.5    0.33271
417.0    0.33565
417.5    0.3386
418.0    0.3416
418.5    0.34255
419.0    0.34357
419.5    0.34423
420.0    0.34485
420.5    0.34558
421.0    0.3463
421.5    0.3487
422.0    0.35111
422.5    0.35181
423.0    0.35251
423.5    0.35847
424.0    0.36437
424.5    0.36638
425.0    0.36858
425.5    0.37083
426.0    0.37296
426.5    0.37474
427.0    0.37645
427.5    0.38042
428.0    0.38446
428.5    0.38514
429.0    0.38577
429.5    0.3901
430.0    0.39429
430.5    0.39591
431.0    0.39765
431.5    0.39947
432.0    0.40138
432.5    0.40363
433.0    0.40572
433.5    0.40773
434.0    0.40987
434.5    0.41237
435.0    0.41477
435.5    0.4174
436.0    0.42011
436.5    0.42246
437.0    0.4248
437.5    0.42716
438.0    0.42925
438.5    0.43198
439.0    0.43457
439.5    0.43744
440.0    0.44048
440.5    0.44259
441.0    0.44464
441.5    0.44652
442.0    0.44844
442.5    0.45003
443.0    0.4516
443.5    0.45327
444.0    0.45489
444.5    0.45631
445.0    0.45782
445.5    0.45951
446.0    0.46135
446.5    0.46304
447.0    0.4645
447.5    0.46591
448.0    0.46705
448.5    0.46858
449.0    0.47038
449.5    0.47238
450.0    0.4742
450.5    0.47581
451.0    0.47739
451.5    0.47891
452.0    0.48054
452.5    0.48262
453.0    0.48474
453.5    0.48693
454.0    0.48916
454.5    0.49047
455.0    0.49163
455.5    0.49273
456.0    0.49394
456.5    0.49471
457.0    0.49548
457.5    0.4962
458.0    0.49672
458.5    0.49849
459.0    0.50045
459.5    0.50247
460.0    0.50439
460.5    0.50623
461.0    0.50808
461.5    0.50997
462.0    0.51202
462.5    0.51366
463.0    0.51521
463.5    0.51661
464.0    0.5181
464.5    0.51951
465.0    0.52097
465.5    0.52254
466.0    0.52401
466.5    0.52444
467.0    0.5246
467.5    0.52483
468.0    0.52515
468.5    0.52605
469.0    0.52689
469.5    0.52779
470.0    0.52875
470.5    0.53006
471.0    0.53144
471.5    0.53286
472.0    0.53424
472.5    0.53612
473.0    0.538
473.5    0.53977
474.0    0.54143
474.5    0.54329
475.0    0.54536
475.5    0.54744
476.0    0.54952
476.5    0.55017
477.0    0.55076
477.5    0.55135
478.0    0.5519
478.5    0.55239
479.0    0.55278
479.5    0.55304
480.0    0.55354
480.5    0.55507
481.0    0.55654
481.5    0.55802
482.0    0.55956
482.5    0.56039
483.0    0.56129
483.5    0.56213
484.0    0.56298
484.5    0.56307
485.0    0.56311
485.5    0.5632
486.0    0.56328
486.5    0.56493
487.0    0.56658
487.5    0.56799
488.0    0.56959
488.5    0.57107
489.0    0.57277
489.5    0.57477
490.0    0.5767
490.5    0.57769
491.0    0.57862
491.5    0.57949
492.0    0.58037
492.5    0.58019
493.0    0.58008
493.5    0.5799
494.0    0.57973
494.5    0.58022
495.0    0.58076
495.5    0.58136
496.0    0.58179
496.5    0.58399
497.0    0.58612
497.5    0.58838
498.0    0.59058
498.5    0.59205
499.0    0.59328
499.5    0.59452
500.0    0.59582
500.5    0.5967
501.0    0.5977
501.5    0.59871
502.0    0.59965
502.5    0.5999
503.0    0.60016
503.5    0.60035
504.0    0.60072
504.5    0.60175
505.0    0.60291
505.5    0.60387
506.0    0.60491
506.5    0.60653
507.0    0.60828
507.5    0.6099
508.0    0.61165
508.5    0.61281
509.0    0.61397
509.5    0.61513
510.0    0.61623
510.5    0.6161
511.0    0.61604
511.5    0.61579
512.0    0.61548
512.5    0.61604
513.0    0.61667
513.5    0.61742
514.0    0.61799
514.5    0.61959
515.0    0.62119
515.5    0.62279
516.0    0.62439
516.5    0.62523
517.0    0.62594
517.5    0.62672
518.0    0.6275
518.5    0.62846
519.0    0.62955
519.5    0.63064
520.0    0.63187
520.5    0.63349
521.0    0.63531
521.5    0.63713
522.0    0.63888
522.5    0.64029
523.0    0.64163
523.5    0.64296
524.0    0.64423
524.5    0.64493
525.0    0.64557
525.5    0.64628
526.0    0.64705
526.5    0.64723
527.0    0.64741
527.5    0.64772
528.0    0.64783
528.5    0.6482
529.0    0.64857
529.5    0.649
530.0    0.64943
530.5    0.65046
531.0    0.6515
531.5    0.65246
532.0    0.65356
532.5    0.65459
533.0    0.65569
533.5    0.65679
534.0    0.6579
534.5    0.65922
535.0    0.66062
535.5    0.66195
536.0    0.66329
536.5    0.66277
537.0    0.66232
537.5    0.6618
538.0    0.66122
538.5    0.65961
539.0    0.65812
539.5    0.65651
540.0    0.65496
540.5    0.65642
541.0    0.65767
541.5    0.65907
542.0    0.66045
542.5    0.66485
543.0    0.66925
543.5    0.67344
544.0    0.67785
544.5    0.6556
