# wavelength    i
380.0    0.0
380.5    0.0
381.0    0.0
381.5    0.0
382.0    0.0
382.5    0.0
383.0    0.0
383.5    0.0
384.0    0.0
384.5    0.0
385.0    0.0
385.5    0.0
386.0    0.0
386.5    0.0
387.0    0.0
387.5    0.0
388.0    0.0
388.5    0.0
389.0    0.0
389.5    0.0
390.0    0.0
390.5    0.0
391.0    0.0
391.5    0.0
392.0    0.0
392.5    0.0
393.0    0.0
393.5    0.0
394.0    0.0
394.5    0.0
395.0    0.0
395.5    0.0
396.0    0.0
396.5    0.0
397.0    0.0
397.5    0.0
398.0    0.0
398.5    0.0
399.0    0.0
399.5    0.0
400.0    0.0
400.5    0.0
401.0    0.0
401.5    0.0
402.0    0.0
402.5    0.0
403.0    0.0
403.5    0.0
404.0    0.0
404.5    0.0
405.0    0.0
405.5    0.0
406.0    0.0
406.5    0.0
407.0    0.0
407.5    0.0
408.0    0.0
408.5    0.0
409.0    0.0
409.5    0.0
410.0    0.0
410.5    0.0
411.0    0.0
411.5    0.0
412.0    0.0
412.5    0.0
413.0    0.0
413.5    0.0
414.0    0.0
414.5    0.0
415.0    0.0
415.5    0.0
416.0    0.0
416.5    0.0
417.0    0.0
417.5    0.0
418.0    0.0
418.5    0.0
419.0    0.0
419.5    0.0
420.0    0.0
420.5    0.0
421.0    0.0
421.5    0.0
422.0    0.0
422.5    0.0
423.0    0.0
423.5    0.0
424.0    0.0
424.5    0.0
425.0    0.0
425.5    0.0
426.0    0.0
426.5    0.0
427.0    0.0
427.5    0.0
428.0    0.0
428.5    0.0
429.0    0.0
429.5    0.0
430.0    0.0
430.5    0.0
431.0    0.0
431.5    0.0
432.0    0.0
432.5    0.0
433.0    0.0
433.5    0.0
434.0    0.0
434.5    0.0
435.0    0.0
435.5    0.0
436.0    0.0
436.5    0.0
437.0    0.0
437.5    0.0
438.0    0.0
438.5    0.0
439.0    0.0
439.5    0.0
440.0    0.0
440.5    0.0
441.0    0.0
441.5    0.0
442.0    0.0
442.5    0.0
443.0    0.0
443.5    0.0
444.0    0.0
444.5    0.0
445.0    0.0
445.5    0.0
446.0    0.0
446.5    0.0
447.0    0.0
447.5    0.0
448.0    0.0
448.5    0.0
449.0    0.0
449.5    0.0
450.0    0.0
450.5    0.0
451.0    0.0
451.5    0.0
452.0    0.0
452.5    0.0
453.0    0.0
453.5    0.0
454.0    0.0
454.5    0.0
455.0    0.0
455.5    0.0
456.0    0.0
456.5    0.0
457.0    0.0
457.5    0.0
458.0    0.0
458.5    0.0
459.0    0.0
459.5    0.0
460.0    0.0
460.5    0.0
461.0    0.0
461.5    0.0
462.0    0.0
462.5    0.0
463.0    0.0
463.5    0.0
464.0    0.0
464.5    0.0
465.0    0.0
465.5    0.0
466.0    0.0
466.5    0.0
467.0    0.0
467.5    0.0
468.0    0.0
468.5    0.0
469.0    0.0
469.5    0.0
470.0    0.0
470.5    0.0
471.0    0.0
471.5    0.0
472.0    0.0
472.5    0.0
473.0    0.0
473.5    0.0
474.0    0.0
474.5    0.0
475.0    0.0
475.5    0.0
476.0    0.0
476.5    0.0
477.0    0.0
477.5    0.0
478.0    0.0
478.5    0.0
479.0    0.0
479.5    0.0
480.0    0.0
480.5    0.0
481.0    0.0
481.5    0.0
482.0    0.0
482.5    0.0
483.0    0.0
483.5    0.0
484.0    0.0
484.5    0.0
485.0    0.0
485.5    0.0
486.0    0.0
486.5    0.0
487.0    0.0
487.5    0.0
488.0    0.0
488.5    0.0
489.0    0.0
489.5    0.0
490.0    0.0
490.5    0.0
491.0    0.0
491.5    0.0
492.0    0.0
492.5    0.0
493.0    0.0
493.5    0.0
494.0    0.0
494.5    0.0
495.0    0.0
495.5    0.0
496.0    0.0
496.5    0.0
497.0    0.0
497.5    0.0
498.0    0.0
498.5    0.0
499.0    0.0
499.5    0.0
500.0    0.0
500.5    0.0
501.0    0.0
501.5    0.0
502.0    0.0
502.5    0.0
503.0    0.0
503.5    0.0
504.0    0.0
504.5    0.0
505.0    0.0
505.5    0.0
506.0    0.0
506.5    0.0
507.0    0.0
507.5    0.0
508.0    0.0
508.5    0.0
509.0    0.0
509.5    0.0
510.0    0.0
510.5    0.0
511.0    0.0
511.5    0.0
512.0    0.0
512.5    0.0
513.0    0.0
513.5    0.0
514.0    0.0
514.5    0.0
515.0    0.0
515.5    0.0
516.0    0.0
516.5    0.0
517.0    0.0
517.5    0.0
518.0    0.0
518.5    0.0
519.0    0.0
519.5    0.0
520.0    0.0
520.5    0.0
521.0    0.0
521.5    0.0
522.0    0.0
522.5    0.0
523.0    0.0
523.5    0.0
524.0    0.0
524.5    0.0
525.0    0.0
525.5    0.0
526.0    0.0
526.5    0.0
527.0    0.0
527.5    0.0
528.0    0.0
528.5    0.0
529.0    0.0
529.5    0.0
530.0    0.0
530.5    0.0
531.0    0.0
531.5    0.0
532.0    0.0
532.5    0.0
533.0    0.0
533.5    0.0
534.0    0.0
534.5    0.0
535.0    0.0
535.5    0.0
536.0    0.0
536.5    0.0
537.0    0.0
537.5    0.0
538.0    0.0
538.5    0.0
539.0    0.0
539.5    0.0
540.0    0.0
540.5    0.0
541.0    0.0
541.5    0.0
542.0    0.0
542.5    0.0
543.0    0.0
543.5    0.0
544.0    0.0
544.5    0.0
545.0    0.0
545.5    0.0
546.0    0.0
546.5    0.0
547.0    0.0
547.5    0.0
548.0    0.0
548.5    0.0
549.0    0.0
549.5    0.0
550.0    0.0
550.5    0.0
551.0    0.0
551.5    0.0
552.0    0.0
552.5    0.0
553.0    0.0
553.5    0.0
554.0    0.0
554.5    0.0
555.0    0.0
555.5    0.0
556.0    0.0
556.5    0.0
557.0    0.0
557.5    0.0
558.0    0.0
558.5    0.0
559.0    0.0
559.5    0.0
560.0    0.0
560.5    0.0
561.0    0.0
561.5    0.0
562.0    0.0
562.5    0.0
563.0    0.0
563.5    0.0
564.0    0.0
564.5    0.0
565.0    0.0
565.5    0.0
566.0    0.0
566.5    0.0
567.0    0.0
567.5    0.0
568.0    0.0
568.5    0.0
569.0    0.0
569.5    0.0
570.0    0.0
570.5    0.0
571.0    0.0
571.5    0.0
572.0    0.0
572.5    0.0
573.0    0.0
573.5    0.0
574.0    0.0
574.5    0.0
575.0    0.0
575.5    0.0
576.0    0.0
576.5    0.0
577.0    0.0
577.5    0.0
578.0    0.0
578.5    0.0
579.0    0.0
579.5    0.0
580.0    0.0
580.5    0.0
581.0    0.0
581.5    0.0
582.0    0.0
582.5    0.0
583.0    0.0
583.5    0.0
584.0    0.0
584.5    0.0
585.0    0.0
585.5    0.0
586.0    0.0
586.5    0.0
587.0    0.0
587.5    0.0
588.0    0.0
588.5    0.0
589.0    0.0
589.5    0.0
590.0    0.0
590.5    0.0
591.0    0.0
591.5    0.0
592.0    0.0
592.5    0.0
593.0    0.0
593.5    0.0
594.0    0.0
594.5    0.0
595.0    0.0
595.5    0.0
596.0    0.0
596.5    0.0
597.0    0.0
597.5    0.0
598.0    0.0
598.5    0.0
599.0    0.0
599.5    0.0
600.0    0.0
600.5    0.0
601.0    0.0
601.5    0.0
602.0    0.0
602.5    0.0
603.0    0.0
603.5    0.0
604.0    0.0
604.5    0.0
605.0    0.0
605.5    0.0
606.0    0.0
606.5    0.0
607.0    0.0
607.5    0.0
608.0    0.0
608.5    0.0
609.0    0.0
609.5    0.0
610.0    0.0
610.5    0.0
611.0    0.0
611.5    0.0
612.0    0.0
612.5    0.0
613.0    0.0
613.5    0.0
614.0    0.0
614.5    0.0
615.0    0.0
615.5    0.0
616.0    0.0
616.5    0.0
617.0    0.0
617.5    0.0
618.0    0.0
618.5    0.0
619.0    0.0
619.5    0.0
620.0    0.0
620.5    0.0
621.0    0.0
621.5    0.0
622.0    0.0
622.5    0.0
623.0    0.0
623.5    0.0
624.0    0.0
624.5    0.0
625.0    0.0
625.5    0.0
626.0    0.0
626.5    0.0
627.0    0.0
627.5    0.0
628.0    0.0
628.5    0.0
629.0    0.0
629.5    0.0
630.0    0.0
630.5    0.0
631.0    0.0
631.5    0.0
632.0    0.0
632.5    0.0
633.0    0.0
633.5    0.0
634.0    0.0
634.5    0.0
635.0    0.0
635.5    0.0
636.0    0.0
636.5    0.0
637.0    0.0
637.5    0.0
638.0    0.0
638.5    0.0
639.0    0.0
639.5    0.0
640.0    0.0
640.5    0.0
641.0    0.0
641.5    0.0
642.0    0.0
642.5    0.0
643.0    0.0
643.5    0.0
644.0    0.0
644.5    0.0
645.0    0.0
645.5    0.0
646.0    0.0
646.5    0.0
647.0    0.0
647.5    0.0
648.0    0.0
648.5    0.0
649.0    0.0
649.5    7e-05
650.0    0.00014
650.5    0.00013
651.0    0.00012
651.5    0.00011
652.0    0.0001
652.5    0.00013
653.0    0.00015
653.5    0.00017
654.0    0.00019
654.5    0.0002
655.0    0.0002
655.5    0.00021
656.0    0.00022
656.5    0.00025
657.0    0.00027
657.5    0.0003
658.0    0.00033
658.5    0.00032
659.0    0.00032
659.5    0.00031
660.0    0.0003
660.5    0.00031
661.0    0.00031
661.5    0.00032
662.0    0.00032
662.5    0.00032
663.0    0.00031
663.5    0.00031
664.0    0.0003
664.5    0.00031
665.0    0.00032
665.5    0.00033
666.0    0.00033
666.5    0.00038
667.0    0.00043
667.5    0.00048
668.0    0.00052
668.5    0.00052
669.0    0.00052
669.5    0.00049
670.0    0.00047
670.5    0.00049
671.0    0.00051
671.5    0.00053
672.0    0.00055
672.5    0.0006
673.0    0.00064
673.5    0.00068
674.0    0.00072
674.5    0.00074
675.0    0.00076
675.5    0.00078
676.0    0.00079
676.5    0.00085
677.0    0.00091
677.5    0.00098
678.0    0.00104
678.5    0.0011
679.0    0.00116
679.5    0.00122
680.0    0.00128
680.5    0.00135
681.0    0.00143
681.5    0.00151
682.0    0.00159
682.5    0.00169
683.0    0.00179
683.5    0.00189
684.0    0.00199
684.5    0.00212
685.0    0.00226
685.5    0.0024
686.0    0.00252
686.5    0.00256
687.0    0.00237
687.5    0.00233
688.0    0.00269
688.5    0.00308
689.0    0.00323
689.5    0.00342
690.0    0.00371
690.5    0.00408
691.0    0.00447
691.5    0.00485
692.0    0.00523
692.5    0.00586
693.0    0.00649
693.5    0.00709
694.0    0.00767
694.5    0.00886
695.0    0.01007
695.5    0.01126
696.0    0.01244
696.5    0.01533
697.0    0.01827
697.5    0.02116
698.0    0.024
698.5    0.03067
699.0    0.03727
699.5    0.04398
700.0    0.05079
700.5    0.06447
701.0    0.07812
701.5    0.09183
702.0    0.10555
702.5    0.12855
703.0    0.15174
703.5    0.17536
704.0    0.19842
704.5    0.23097
705.0    0.26352
705.5    0.29593
706.0    0.32869
706.5    0.36658
707.0    0.40455
707.5    0.44228
708.0    0.48002
708.5    0.5167
709.0    0.55327
709.5    0.58971
710.0    0.62584
710.5    0.65608
711.0    0.68653
711.5    0.71701
712.0    0.74738
712.5    0.76824
713.0    0.78886
713.5    0.80987
714.0    0.83081
714.5    0.84181
715.0    0.85254
715.5    0.86377
716.0    0.87393
716.5    0.87273
717.0    0.86327
717.5    0.85399
718.0    0.85202
718.5    0.84091
719.0    0.83438
719.5    0.83722
720.0    0.83988
720.5    0.84741
721.0    0.86688
721.5    0.88573
722.0    0.89164
722.5    0.89013
723.0    0.87865
723.5    0.86061
724.0    0.85934
724.5    0.86241
725.0    0.86832
725.5    0.87343
726.0    0.88157
726.5    0.88321
727.0    0.88411
727.5    0.8802
728.0    0.88136
728.5    0.89426
729.0    0.89364
729.5    0.89628
730.0    0.90291
730.5    0.89962
731.0    0.8994
731.5    0.90103
732.0    0.90515
732.5    0.91189
733.0    0.91389
733.5    0.91275
734.0    0.91364
734.5    0.91386
735.0    0.91288
735.5    0.91274
736.0    0.91158
736.5    0.91217
737.0    0.91367
737.5    0.91657
738.0    0.91891
738.5    0.9208
739.0    0.92306
739.5    0.92514
740.0    0.9274
740.5    0.9296
741.0    0.93115
741.5    0.93252
742.0    0.93407
742.5    0.93428
743.0    0.93487
743.5    0.93565
744.0    0.93596
744.5    0.93551
745.0    0.93535
745.5    0.93499
746.0    0.93482
746.5    0.93469
747.0    0.93447
747.5    0.93414
748.0    0.93392
748.5    0.93437
749.0    0.93472
749.5    0.93517
750.0    0.93553
750.5    0.93581
751.0    0.93637
751.5    0.93684
752.0    0.93721
752.5    0.93758
753.0    0.93795
753.5    0.93822
754.0    0.93849
754.5    0.93799
755.0    0.93757
755.5    0.93716
756.0    0.93656
756.5    0.93577
757.0    0.93488
757.5    0.93399
758.0    0.93292
758.5    0.92458
759.0    0.87577
759.5    0.69387
760.0    0.43592
760.5    0.30247
761.0    0.31846
761.5    0.45553
762.0    0.59922
762.5    0.57903
763.0    0.50073
763.5    0.50198
764.0    0.54583
764.5    0.59945
765.0    0.66282
765.5    0.7203
766.0    0.76678
766.5    0.80615
767.0    0.8479
767.5    0.87574
768.0    0.89168
768.5    0.90152
769.0    0.90828
769.5    0.91467
770.0    0.92255
770.5    0.92826
771.0    0.93089
771.5    0.93213
772.0    0.93299
772.5    0.93377
773.0    0.93436
773.5    0.93513
774.0    0.93582
774.5    0.93769
775.0    0.93928
775.5    0.94106
776.0    0.94255
776.5    0.94341
777.0    0.94408
777.5    0.94484
778.0    0.94542
778.5    0.94565
779.0    0.94589
