# wavelength    r
380.0    0.00031
380.5    0.00033
381.0    0.00034
381.5    0.00037
382.0    0.00039
382.5    0.00042
383.0    0.00044
383.5    0.00047
384.0    0.00049
384.5    0.00051
385.0    0.00054
385.5    0.00056
386.0    0.00059
386.5    0.00061
387.0    0.00064
387.5    0.00066
388.0    0.00069
388.5    0.00071
389.0    0.00074
389.5    0.00077
390.0    0.00079
390.5    0.00082
391.0    0.00084
391.5    0.0009
392.0    0.00096
392.5    0.00101
393.0    0.00107
393.5    0.00112
394.0    0.00118
394.5    0.00124
395.0    0.0013
395.5    0.00135
396.0    0.00141
396.5    0.00147
397.0    0.00153
397.5    0.00159
398.0    0.00164
398.5    0.0017
399.0    0.00176
399.5    0.00182
400.0    0.00188
400.5    0.0018
401.0    0.00172
401.5    0.00164
402.0    0.00156
402.5    0.00148
403.0    0.0014
403.5    0.00132
404.0    0.00124
404.5    0.00116
405.0    0.00108
405.5    0.00099
406.0    0.00091
406.5    0.00083
407.0    0.00075
407.5    0.00066
408.0    0.00058
408.5    0.00049
409.0    0.00041
409.5    0.00033
410.0    0.00024
410.5    0.00016
411.0    7e-05
411.5    7e-05
412.0    8e-05
412.5    8e-05
413.0    8e-05
413.5    8e-05
414.0    8e-05
414.5    8e-05
415.0    9e-05
415.5    9e-05
416.0    9e-05
416.5    9e-05
417.0    9e-05
417.5    9e-05
418.0    0.0001
418.5    0.0001
419.0    0.0001
419.5    0.0001
420.0    0.0001
420.5    0.00011
421.0    0.00011
421.5    0.0001
422.0    0.0001
422.5    9e-05
423.0    8e-05
423.5    8e-05
424.0    7e-05
424.5    7e-05
425.0    6e-05
425.5    5e-05
426.0    5e-05
426.5    4e-05
427.0    4e-05
427.5    3e-05
428.0    2e-05
428.5    2e-05
429.0    1e-05
429.5    1e-05
430.0    0.0
430.5    8e-05
431.0    0.00017
431.5    0.00026
432.0    0.00034
432.5    0.00043
433.0    0.00051
433.5    0.0006
434.0    0.00068
434.5    0.00077
435.0    0.00086
435.5    0.00094
436.0    0.00103
436.5    0.00112
437.0    0.00121
437.5    0.0013
438.0    0.00138
438.5    0.00147
439.0    0.00156
439.5    0.00165
440.0    0.00174
440.5    0.0017
441.0    0.00166
441.5    0.00162
442.0    0.00158
442.5    0.00155
443.0    0.00151
443.5    0.00147
444.0    0.00143
444.5    0.00139
445.0    0.00135
445.5    0.00131
446.0    0.00127
446.5    0.00123
447.0    0.0012
447.5    0.00116
448.0    0.00112
448.5    0.00108
449.0    0.00104
449.5    0.001
450.0    0.00096
450.5    0.00091
451.0    0.00086
451.5    0.00082
452.0    0.00077
452.5    0.00072
453.0    0.00067
453.5    0.00063
454.0    0.00058
454.5    0.00053
455.0    0.00048
455.5    0.00044
456.0    0.00039
456.5    0.00034
457.0    0.00029
457.5    0.00024
458.0    0.00019
458.5    0.00015
459.0    0.0001
459.5    5e-05
460.0    0.0
460.5    3e-05
461.0    6e-05
461.5    9e-05
462.0    0.00013
462.5    0.00016
463.0    0.00019
463.5    0.00022
464.0    0.00025
464.5    0.00028
465.0    0.00032
465.5    0.00035
466.0    0.00038
466.5    0.00041
467.0    0.00044
467.5    0.00048
468.0    0.00051
468.5    0.00054
469.0    0.00057
469.5    0.00061
470.0    0.00064
470.5    0.00061
471.0    0.00057
471.5    0.00054
472.0    0.00051
472.5    0.00048
473.0    0.00045
473.5    0.00042
474.0    0.00038
474.5    0.00035
475.0    0.00032
475.5    0.00029
476.0    0.00026
476.5    0.00023
477.0    0.00019
477.5    0.00016
478.0    0.00013
478.5    0.0001
479.0    6e-05
479.5    3e-05
480.0    0.0
480.5    0.0
481.0    0.0
481.5    0.0
482.0    0.0
482.5    0.0
483.0    0.0
483.5    0.0
484.0    0.0
484.5    0.0
485.0    0.0
485.5    0.0
486.0    0.0
486.5    0.0
487.0    0.0
487.5    0.0
488.0    0.0
488.5    0.0
489.0    0.0
489.5    0.0
490.0    0.0
490.5    0.0
491.0    1e-05
